Entity,Code,Date,Cumulative total tests,Total confirmed cases of COVID-19 (cases)
Afghanistan,AFG,31-Dec-19,,0
Afghanistan,AFG,1-Jan-20,,0
Afghanistan,AFG,2-Jan-20,,0
Afghanistan,AFG,3-Jan-20,,0
Afghanistan,AFG,4-Jan-20,,0
Afghanistan,AFG,5-Jan-20,,0
Afghanistan,AFG,6-Jan-20,,0
Afghanistan,AFG,7-Jan-20,,0
Afghanistan,AFG,8-Jan-20,,0
Afghanistan,AFG,9-Jan-20,,0
Afghanistan,AFG,10-Jan-20,,0
Afghanistan,AFG,11-Jan-20,,0
Afghanistan,AFG,12-Jan-20,,0
Afghanistan,AFG,13-Jan-20,,0
Afghanistan,AFG,14-Jan-20,,0
Afghanistan,AFG,15-Jan-20,,0
Afghanistan,AFG,16-Jan-20,,0
Afghanistan,AFG,17-Jan-20,,0
Afghanistan,AFG,18-Jan-20,,0
Afghanistan,AFG,19-Jan-20,,0
Afghanistan,AFG,20-Jan-20,,0
Afghanistan,AFG,21-Jan-20,,0
Afghanistan,AFG,22-Jan-20,,0
Afghanistan,AFG,23-Jan-20,,0
Afghanistan,AFG,24-Jan-20,,0
Afghanistan,AFG,25-Jan-20,,0
Afghanistan,AFG,26-Jan-20,,0
Afghanistan,AFG,27-Jan-20,,0
Afghanistan,AFG,28-Jan-20,,0
Afghanistan,AFG,29-Jan-20,,0
Afghanistan,AFG,30-Jan-20,,0
Afghanistan,AFG,31-Jan-20,,0
Afghanistan,AFG,1-Feb-20,,0
Afghanistan,AFG,2-Feb-20,,0
Afghanistan,AFG,3-Feb-20,,0
Afghanistan,AFG,4-Feb-20,,0
Afghanistan,AFG,5-Feb-20,,0
Afghanistan,AFG,6-Feb-20,,0
Afghanistan,AFG,7-Feb-20,,0
Afghanistan,AFG,8-Feb-20,,0
Afghanistan,AFG,9-Feb-20,,0
Afghanistan,AFG,10-Feb-20,,0
Afghanistan,AFG,11-Feb-20,,0
Afghanistan,AFG,12-Feb-20,,0
Afghanistan,AFG,13-Feb-20,,0
Afghanistan,AFG,14-Feb-20,,0
Afghanistan,AFG,15-Feb-20,,0
Afghanistan,AFG,16-Feb-20,,0
Afghanistan,AFG,17-Feb-20,,0
Afghanistan,AFG,18-Feb-20,,0
Afghanistan,AFG,19-Feb-20,,0
Afghanistan,AFG,20-Feb-20,,0
Afghanistan,AFG,21-Feb-20,,0
Afghanistan,AFG,22-Feb-20,,0
Afghanistan,AFG,23-Feb-20,,0
Afghanistan,AFG,24-Feb-20,,0
Afghanistan,AFG,25-Feb-20,,1
Afghanistan,AFG,26-Feb-20,,1
Afghanistan,AFG,27-Feb-20,,1
Afghanistan,AFG,28-Feb-20,,1
Afghanistan,AFG,29-Feb-20,,1
Afghanistan,AFG,1-Mar-20,,1
Afghanistan,AFG,2-Mar-20,,1
Afghanistan,AFG,8-Mar-20,,4
Afghanistan,AFG,11-Mar-20,,7
Afghanistan,AFG,15-Mar-20,,10
Afghanistan,AFG,16-Mar-20,,16
Afghanistan,AFG,17-Mar-20,,21
Afghanistan,AFG,18-Mar-20,,22
Afghanistan,AFG,19-Mar-20,,22
Afghanistan,AFG,20-Mar-20,,22
Afghanistan,AFG,21-Mar-20,,24
Afghanistan,AFG,22-Mar-20,,24
Afghanistan,AFG,23-Mar-20,,34
Afghanistan,AFG,24-Mar-20,,40
Afghanistan,AFG,25-Mar-20,,42
Afghanistan,AFG,26-Mar-20,,75
Afghanistan,AFG,27-Mar-20,,75
Afghanistan,AFG,28-Mar-20,,91
Afghanistan,AFG,29-Mar-20,,106
Afghanistan,AFG,30-Mar-20,,114
Afghanistan,AFG,31-Mar-20,,141
Afghanistan,AFG,1-Apr-20,,166
Afghanistan,AFG,2-Apr-20,,192
Afghanistan,AFG,3-Apr-20,,235
Afghanistan,AFG,4-Apr-20,,235
Afghanistan,AFG,5-Apr-20,,270
Afghanistan,AFG,6-Apr-20,,299
Afghanistan,AFG,7-Apr-20,,337
Afghanistan,AFG,8-Apr-20,,367
Afghanistan,AFG,9-Apr-20,,423
Afghanistan,AFG,10-Apr-20,,484
Afghanistan,AFG,11-Apr-20,,521
Afghanistan,AFG,12-Apr-20,,555
Afghanistan,AFG,13-Apr-20,,607
Africa,,31-Dec-19,,0
Africa,,1-Jan-20,,0
Africa,,2-Jan-20,,0
Africa,,3-Jan-20,,0
Africa,,4-Jan-20,,0
Africa,,5-Jan-20,,0
Africa,,6-Jan-20,,0
Africa,,7-Jan-20,,0
Africa,,8-Jan-20,,0
Africa,,9-Jan-20,,0
Africa,,10-Jan-20,,0
Africa,,11-Jan-20,,0
Africa,,12-Jan-20,,0
Africa,,13-Jan-20,,0
Africa,,14-Jan-20,,0
Africa,,15-Jan-20,,0
Africa,,16-Jan-20,,0
Africa,,17-Jan-20,,0
Africa,,18-Jan-20,,0
Africa,,19-Jan-20,,0
Africa,,20-Jan-20,,0
Africa,,21-Jan-20,,0
Africa,,22-Jan-20,,0
Africa,,23-Jan-20,,0
Africa,,24-Jan-20,,0
Africa,,25-Jan-20,,0
Africa,,26-Jan-20,,0
Africa,,27-Jan-20,,0
Africa,,28-Jan-20,,0
Africa,,29-Jan-20,,0
Africa,,30-Jan-20,,0
Africa,,31-Jan-20,,0
Africa,,1-Feb-20,,0
Africa,,2-Feb-20,,0
Africa,,3-Feb-20,,0
